time,frequency,confidence
0.000,577.728,0.130087
0.100,1475.706,0.157888
0.200,168.180,0.095694
0.300,166.183,0.886324
0.400,208.126,0.846192
0.500,229.228,0.939831
0.600,232.375,0.912035
0.700,259.837,0.946699
0.800,263.806,0.949088
0.900,268.400,0.976121
1.000,260.566,0.959413
1.100,259.448,0.972733
1.200,255.142,0.953669
1.300,258.854,0.960294
1.400,258.705,0.957371
1.500,259.580,0.970524
1.600,257.875,0.954096
1.700,256.922,0.976291
1.800,259.973,0.969060
1.900,258.166,0.947257
2.000,260.494,0.956640
2.100,261.082,0.945889
2.200,256.573,0.975939
2.300,264.150,0.937274
2.400,256.382,0.978099
2.500,263.356,0.951456
2.600,262.361,0.971038
2.700,260.899,0.942719
2.800,264.459,0.958910
2.900,268.984,0.973217
3.000,258.400,0.953461
3.100,263.453,0.958021
3.200,266.355,0.971383
3.300,258.863,0.964703
3.400,262.473,0.970729
3.500,264.278,0.949060
3.600,257.022,0.976026
3.700,264.526,0.961425
3.800,255.114,0.949371
3.900,268.209,0.975135
4.000,257.197,0.966738
4.100,264.093,0.939961
4.200,257.912,0.870934
4.300,229.861,0.650599
4.400,285.574,0.954030
4.500,267.158,0.942435
4.600,265.750,0.977107
4.700,259.747,0.967476
4.800,259.510,0.972850
4.900,265.095,0.967014
5.000,257.897,0.962814
5.100,269.118,0.980677
5.200,257.585,0.967175
5.300,261.258,0.953389
5.400,261.267,0.957249
5.500,257.512,0.970597
5.600,264.779,0.958972
5.700,260.869,0.944314
5.800,269.926,0.959048
5.900,261.138,0.953276
6.000,261.790,0.964860
6.100,262.342,0.973381
6.200,259.786,0.965244
6.300,257.086,0.973239
6.400,265.620,0.974430
6.500,258.213,0.949114
6.600,265.582,0.966333
6.700,259.116,0.963778
6.800,268.170,0.967190
6.900,259.687,0.964904
7.000,269.494,0.954252
7.100,234.515,0.908085
7.200,257.360,0.839911
7.300,274.724,0.965750
7.400,264.250,0.933272
7.500,260.496,0.946296
7.600,260.903,0.941565
7.700,262.861,0.966753
7.800,263.413,0.958502
7.900,260.452,0.955316
8.000,266.115,0.977192
8.100,260.057,0.965156
8.200,259.736,0.968754
8.300,264.504,0.957479
8.400,258.206,0.942066
8.500,262.677,0.969935
8.600,261.000,0.943565
8.700,257.506,0.962541
8.800,267.884,0.963639
8.900,264.253,0.943892
9.000,256.651,0.963462
9.100,261.611,0.961589
9.200,257.793,0.945996
9.300,267.288,0.946005
9.400,256.140,0.961179
9.500,264.323,0.947077
9.600,252.941,0.836579
9.700,257.023,0.871290
9.800,261.948,0.752815
9.900,257.471,0.501932
10.000,262.116,0.458112
10.100,245.419,0.085911
10.200,245.124,0.098740
10.300,647.201,0.065346
10.400,381.225,0.092786
10.500,124.062,0.074104
10.600,274.875,0.030993
10.700,34.579,0.229990
10.800,296.331,0.111669
10.900,1515.538,0.204475
11.000,294.058,0.045432
11.100,532.958,0.098389
11.200,43.964,0.239761
11.300,32.811,0.081909
11.400,882.225,0.049175
11.500,176.352,0.588399
11.600,223.720,0.906455
11.700,253.312,0.967984
11.800,283.091,0.863449
11.900,296.178,0.960146
12.000,301.837,0.978365
12.100,310.250,0.956130
12.200,305.343,0.986964
12.300,304.429,0.984010
12.400,310.973,0.961329
12.500,304.299,0.985094
12.600,305.433,0.982915
12.700,307.479,0.976071
12.800,300.194,0.954582
12.900,310.518,0.947546
13.000,307.044,0.958651
13.100,305.658,0.979054
13.200,306.701,0.963333
13.300,305.452,0.983388
13.400,312.483,0.976437
13.500,303.976,0.980021
13.600,304.380,0.982635
13.700,305.413,0.984503
13.800,306.414,0.973637
13.900,304.943,0.983360
14.000,309.128,0.976423
14.100,304.862,0.979693
14.200,321.396,0.867425
14.300,284.175,0.957254
14.400,287.296,0.956207
14.500,314.223,0.538647
14.600,283.586,0.916270
14.700,281.955,0.870599
14.800,275.849,0.900400
14.900,251.521,0.942578
15.000,273.433,0.678439
15.100,274.811,0.962587
15.200,259.093,0.968020
15.300,265.675,0.734341
15.400,284.962,0.968917
15.500,283.244,0.964062
15.600,277.661,0.968195
15.700,282.568,0.950390
15.800,280.999,0.961018
15.900,280.296,0.949472
16.000,279.447,0.939838
16.100,281.893,0.958536
16.200,278.268,0.964371
16.300,277.892,0.968784
16.400,276.398,0.946621
16.500,278.589,0.959910
16.600,276.124,0.940664
16.700,279.926,0.920585
16.800,268.303,0.948627
16.900,261.556,0.939187
17.000,261.732,0.965918
17.100,261.088,0.941984
17.200,321.368,0.847995
17.300,257.399,0.968028
17.400,258.243,0.950808
17.500,260.162,0.936764
17.600,290.331,0.383313
17.700,221.615,0.934658
17.800,231.800,0.932270
17.900,228.418,0.961895
18.000,245.465,0.681806
18.100,270.471,0.926139
18.200,228.844,0.933863
18.300,229.056,0.938650
18.400,226.758,0.945578
18.500,225.996,0.967360
18.600,233.668,0.959465
18.700,259.864,0.960060
18.800,259.197,0.961980
18.900,260.546,0.953985
19.000,258.896,0.967849
19.100,260.902,0.946173
19.200,254.591,0.957425
19.300,260.603,0.954889
19.400,254.519,0.959143
19.500,268.240,0.959650
19.600,260.895,0.929729
19.700,264.735,0.955398
19.800,258.205,0.948268
19.900,261.333,0.954007
20.000,260.291,0.956871
20.100,256.968,0.965649
20.200,262.498,0.963065
20.300,258.234,0.935597
20.400,261.960,0.963705
20.500,237.583,0.407638
20.600,260.813,0.892280
20.700,259.920,0.804573
20.800,242.893,0.642412
20.900,259.560,0.511436
21.000,125.760,0.225289
21.100,593.118,0.075618
21.200,576.617,0.100502
21.300,1435.771,0.059544
21.400,1763.730,0.037841
21.500,243.777,0.031934
21.600,1753.218,0.063762
21.700,307.911,0.039348
21.800,82.723,0.084398
21.900,271.506,0.856683
22.000,299.765,0.950299
22.100,303.373,0.954759
22.200,304.130,0.976120
22.300,307.853,0.974336
22.400,313.699,0.948078
22.500,303.149,0.963098
22.600,309.735,0.973697
22.700,303.491,0.968365
22.800,311.127,0.961225
22.900,308.920,0.975844
23.000,307.749,0.977946
23.100,312.029,0.975857
23.200,304.608,0.983052
23.300,313.451,0.956909
23.400,305.616,0.983686
23.500,309.699,0.965904
23.600,308.086,0.972950
23.700,307.312,0.973350
23.800,304.789,0.979035
23.900,327.400,0.875227
24.000,293.149,0.922149
24.100,283.054,0.922258
24.200,317.987,0.506414
24.300,280.347,0.950894
24.400,291.743,0.869894
24.500,276.186,0.891789
24.600,258.214,0.938608
24.700,257.770,0.935415
24.800,298.419,0.965275
24.900,259.646,0.959064
25.000,257.660,0.956744
25.100,292.822,0.937289
25.200,275.555,0.960028
25.300,277.111,0.967291
25.400,278.932,0.960488
25.500,277.896,0.969678
25.600,276.738,0.958573
25.700,277.786,0.971378
25.800,274.975,0.972640
25.900,274.551,0.969770
26.000,276.185,0.942905
26.100,275.433,0.962336
26.200,278.268,0.954887
26.300,277.297,0.963154
26.400,280.000,0.912063
26.500,257.000,0.937244
26.600,257.822,0.924115
26.700,258.061,0.923884
26.800,274.309,0.635943
26.900,270.882,0.855245
27.000,260.482,0.938294
27.100,257.698,0.921301
27.200,276.262,0.947302
27.300,233.776,0.766568
27.400,226.341,0.924345
27.500,228.866,0.931795
27.600,261.032,0.887426
27.700,234.059,0.936130
27.800,229.367,0.913358
27.900,248.435,0.902436
28.000,261.767,0.953900
28.100,259.475,0.952578
28.200,255.215,0.934338
28.300,257.562,0.953475
28.400,255.508,0.956639
28.500,261.730,0.965452
28.600,252.779,0.941795
28.700,260.237,0.960838
28.800,255.904,0.967652
28.900,259.237,0.966591
29.000,256.724,0.968803
29.100,258.248,0.947066
29.200,258.735,0.954727
29.300,254.685,0.955179
29.400,265.336,0.976387
29.500,254.843,0.944220
29.600,256.620,0.968672
29.700,258.205,0.942195
29.800,256.761,0.930806
29.900,168.828,0.236980
30.000,255.653,0.861858
30.100,254.094,0.435068
30.200,239.977,0.775638
30.300,261.232,0.754614
30.400,1405.405,0.256099
30.500,323.203,0.034932
30.600,1635.319,0.273841
30.700,1497.406,0.132840
30.800,1453.094,0.153006
30.900,532.798,0.061535
31.000,249.805,0.100484
31.100,1724.212,0.061686
31.200,240.065,0.785274
31.300,266.777,0.932516
31.400,321.550,0.886020
31.500,343.362,0.967544
31.600,337.082,0.949982
31.700,343.595,0.962821
31.800,341.086,0.960639
31.900,341.950,0.966724
32.000,348.006,0.958237
32.100,345.015,0.966586
32.200,350.999,0.970803
32.300,344.928,0.940912
32.400,341.239,0.905776
32.500,344.791,0.916767
32.600,343.762,0.909345
32.700,345.782,0.940498
32.800,347.853,0.918398
32.900,348.435,0.950385
33.000,302.566,0.937104
33.100,306.610,0.948055
33.200,315.720,0.940584
33.300,304.218,0.961808
33.400,297.483,0.902746
33.500,278.294,0.958680
33.600,318.973,0.933994
33.700,275.291,0.954021
33.800,296.203,0.844984
33.900,308.586,0.974221
34.000,296.473,0.944603
34.100,307.763,0.962858
34.200,297.921,0.967265
34.300,303.763,0.963015
34.400,309.925,0.962152
34.500,304.399,0.980544
34.600,309.873,0.967943
34.700,300.402,0.950070
34.800,300.737,0.966956
34.900,308.344,0.979903
35.000,294.906,0.977493
35.100,303.141,0.961469
35.200,310.665,0.954634
35.300,307.530,0.975473
35.400,297.648,0.966831
35.500,302.599,0.968258
35.600,310.457,0.943727
35.700,289.247,0.907595
35.800,280.674,0.952131
35.900,274.488,0.972350
36.000,337.714,0.906169
36.100,279.056,0.953084
36.200,284.555,0.929389
36.300,275.548,0.855619
36.400,251.262,0.951520
36.500,257.959,0.942168
36.600,297.763,0.973872
36.700,261.889,0.950242
36.800,262.347,0.969498
36.900,319.521,0.946145
37.000,277.066,0.959609
37.100,279.011,0.955827
37.200,272.436,0.977390
37.300,275.935,0.950039
37.400,273.884,0.962071
37.500,274.930,0.966890
37.600,274.279,0.965534
37.700,274.063,0.956400
37.800,253.679,0.961590
37.900,252.076,0.534455
38.000,272.524,0.541091
38.100,274.110,0.798953
38.200,268.996,0.289848
