time,frequency,confidence
0.000,32.587,0.073928
0.100,130.354,0.230626
0.200,41.376,0.057112
0.300,335.175,0.074428
0.400,355.125,0.261197
0.500,272.284,0.696925
0.600,279.763,0.892793
0.700,275.463,0.966607
0.800,268.760,0.977538
0.900,295.739,0.920311
1.000,340.353,0.946757
1.100,342.209,0.973497
1.200,342.468,0.972938
1.300,350.977,0.964667
1.400,347.720,0.953182
1.500,344.423,0.955377
1.600,349.096,0.975311
1.700,352.391,0.960537
1.800,349.828,0.972337
1.900,347.330,0.937317
2.000,348.197,0.902856
2.100,349.068,0.934190
2.200,348.995,0.925172
2.300,352.454,0.935785
2.400,349.262,0.969698
2.500,350.117,0.975728
2.600,351.433,0.975140
2.700,350.262,0.980437
2.800,349.502,0.980355
2.900,348.909,0.970169
3.000,350.243,0.957822
3.100,347.685,0.947766
3.200,348.586,0.948874
3.300,349.182,0.962027
3.400,349.595,0.958685
3.500,349.797,0.952323
3.600,348.365,0.933028
3.700,351.491,0.953613
3.800,349.039,0.951516
3.900,348.434,0.940817
4.000,348.852,0.945674
4.100,348.421,0.937151
4.200,347.633,0.950020
4.300,348.036,0.941148
4.400,349.085,0.961869
4.500,346.590,0.973362
4.600,349.729,0.971374
4.700,388.083,0.927941
4.800,394.018,0.933819
4.900,369.372,0.830498
5.000,350.051,0.971403
5.100,346.764,0.871859
5.200,354.272,0.983319
5.300,373.397,0.750406
5.400,318.921,0.945614
5.500,354.893,0.966168
5.600,348.791,0.931908
5.700,378.744,0.933277
5.800,325.313,0.952903
5.900,331.550,0.967265
6.000,349.617,0.956189
6.100,351.198,0.971771
6.200,322.193,0.956606
6.300,349.585,0.971598
6.400,320.200,0.950898
6.500,354.050,0.974020
6.600,347.538,0.957510
6.700,350.449,0.967843
6.800,346.537,0.972603
6.900,348.954,0.966146
7.000,350.020,0.977566
7.100,347.901,0.951735
7.200,351.711,0.946939
7.300,348.721,0.937890
7.400,354.439,0.966750
7.500,313.618,0.947610
7.600,347.653,0.938484
7.700,280.962,0.965730
7.800,276.717,0.960037
7.900,276.092,0.943526
8.000,257.415,0.963104
8.100,251.708,0.814533
8.200,239.716,0.808439
8.300,245.143,0.583398
8.400,274.125,0.969888
8.500,269.325,0.979207
8.600,346.238,0.933932
8.700,329.755,0.957364
8.800,318.920,0.940422
8.900,343.390,0.960005
9.000,353.070,0.962389
9.100,348.371,0.923696
9.200,348.511,0.935073
9.300,350.444,0.964971
9.400,351.007,0.969886
9.500,322.302,0.922983
9.600,346.832,0.896824
9.700,278.185,0.904600
9.800,363.980,0.261800
9.900,317.645,0.932238
10.000,370.188,0.804102
10.100,319.602,0.962129
10.200,333.760,0.925278
10.300,336.927,0.934928
10.400,314.043,0.911283
10.500,351.973,0.965561
10.600,352.007,0.958599
10.700,349.783,0.959454
10.800,349.445,0.928251
10.900,348.540,0.936201
11.000,371.979,0.881535
11.100,383.508,0.684698
11.200,324.602,0.900542
11.300,365.811,0.609869
11.400,347.307,0.961136
11.500,371.417,0.947374
11.600,318.514,0.959897
11.700,337.054,0.919333
11.800,352.243,0.960657
11.900,352.929,0.964888
12.000,321.252,0.901058
12.100,356.191,0.885165
12.200,320.906,0.932254
12.300,350.281,0.964812
12.400,318.516,0.940928
12.500,348.654,0.944432
12.600,333.566,0.948394
12.700,356.072,0.583620
12.800,337.653,0.957936
12.900,346.619,0.972960
13.000,351.623,0.964948
13.100,388.907,0.915163
13.200,407.442,0.860424
13.300,358.538,0.843372
13.400,349.264,0.908661
13.500,354.550,0.964728
13.600,353.011,0.971340
13.700,348.423,0.959512
13.800,348.563,0.958794
13.900,349.052,0.972061
14.000,346.858,0.972436
14.100,348.713,0.963230
14.200,347.736,0.961891
14.300,349.811,0.976973
14.400,354.519,0.982013
14.500,352.104,0.957265
14.600,346.944,0.906227
14.700,351.600,0.655533
14.800,353.407,0.955709
14.900,351.800,0.904473
15.000,354.724,0.945085
15.100,352.712,0.920637
15.200,351.570,0.848131
15.300,349.601,0.745849
15.400,350.765,0.472155
15.500,1744.896,0.210200
15.600,1746.482,0.111463
15.700,340.879,0.305835
15.800,356.297,0.866315
15.900,379.791,0.969351
16.000,392.707,0.966299
16.100,400.202,0.894172
16.200,813.185,0.706687
16.300,403.795,0.791323
16.400,401.140,0.880621
16.500,395.470,0.876101
16.600,393.836,0.917062
16.700,391.488,0.800049
16.800,389.899,0.811597
16.900,390.133,0.900040
17.000,384.191,0.849824
17.100,345.251,0.943484
17.200,349.294,0.973149
17.300,349.537,0.959470
17.400,348.073,0.927140
17.500,351.892,0.947896
17.600,347.913,0.948438
17.700,348.855,0.961390
17.800,349.446,0.968320
17.900,349.544,0.966447
18.000,367.687,0.678067
18.100,392.482,0.920896
18.200,457.355,0.887876
18.300,346.175,0.969331
